id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
92180,Drowning,Central America & Mexico,0.0,1.0,Central America incl. Mexico,19/07/2016,La Tribuna,Partially Verified,15.12111805,-92.72436763,Honduras
92578,Drowning,Central America,0.0,1.0,U.S./Mexico Border,06/08/2016,Radio Zocalo,Partially Verified,28.771731199999998,-100.5261304,Guatemala
92579,Fell from train,Central America & Mexico,0.0,1.0,Central America incl. Mexico,06/08/2016,Honduras Tierra Libre,Partially Verified,27.35316094,-99.56994704,Honduras
92979,Dehydration,Central America & Mexico,0.0,1.0,U.S./Mexico Border,09/08/2016,Notigram Durango,Partially Verified,27.76974367,-99.86787088,Mexico
93378,Dehydration,Central America & Mexico,0.0,1.0,U.S./Mexico Border,07/08/2016,Canal Antigua,Partially Verified,29.3322015,-100.91117779999999,Guatemala
93777,Dehydration,Caribbean,0.0,1.0,U.S./Mexico Border,03/08/2016,El Pulmondelademocracia,Partially Verified,30.65028255,-110.4023434,Dominican Republic
94177,Dehydration,Central America,0.0,1.0,Central America incl. Mexico,11/08/2016,Noticiero de San Vincent,Partially Verified,19.68905538,-98.5565043,El Salvador
94180,Dehydration,Central America,0.0,1.0,U.S./Mexico Border,15/08/2016,IOM Honduras,Partially Verified,35.19579997,-100.5766443,Honduras
94577,Hypothermia,Caribbean,0.0,1.0,South America,15/08/2016,El Telografo,Partially Verified,0.7960003090000001,-77.66584764,Haiti
94977,Murdered,Central America & Mexico,0.0,1.0,Central America incl. Mexico,16/04/2014,Soy 502,Partially Verified,16.24219606,-93.90986158,Honduras
94977,Murdered,Central America & Mexico,0.0,3.0,Central America incl. Mexico,16/04/2014,Soy 502,Partially Verified,16.24219606,-93.90986158,Mexico
94978,Vehicle accident,Central America & Mexico,0.0,1.0,U.S./Mexico Border,07/07/2016,LA Times,Partially Verified,33.22892714,-116.2611173,Mexico
94980,Drowning,MENA,2.0,5.0,Mediterranean,17/08/2016,IOM Italy,Verified,32.89328395,12.50127379,Syria
95377,Exposure,Central America & Mexico,0.0,1.0,U.S./Mexico Border,05/08/2016,Portal de Noticias Altavoz,Partially Verified,31.34212318,-110.8989794,Mexico
95378,Drowning,Sub-Saharan Africa,1.0,0.0,Mediterranean,16/08/2016,Asociaci�n Pro Derechos Humanos de Andaluc�a (APDHA),Verified,35.99979812,-5.613200228999999,Morocco
